Nr,"Företagets namn, ägare eller innehavare","Kommun, stad",Kraftstationens namn eller läge,Driv- kraft,"Ut- byggd
fall- höjd i m","stallerad
In- genera- toreffekt i kVA",Strömperi- art,Idtal,Spänningssystem volt,Hu- vud- trans- forma- torns effekt kVA,Orts- transforma- torernas,,Anslutning år 1922,,,,Energi- förbruk- ning år 1922 kWh,Elektri- fierad åker- areal den 1/1 1923 hektar,Anmärk- ningar,Nr
,,,,,,,,,,,antal st.,sam- man- lagda effekt kVA,mo- torer kW,belys- ning kW,Öv- riga appa. rater kW,sum- ma kW,,,,
1,2,,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,1
1,Trollhätte kraftverk,Trollhättan,Trollhättan,V,30,165 000,3-fas,"5, 50","120000, 50000 och 10000",-,-,-,,-,-,-,-,-,,1
2,Trollhätte stads el .- verk,,Ab. från Trollhätte kraft- verk,-,-,-,,50,3000/380,,.,,,,,,,-,,2
3,Ortsdistributionen i Hjul- kvarn etc.,,Trollhättan,- V,- 30,- 1 500,,50,3000/380,-,,,,,,,,-,,3
4 45,Nydqvist & Holms A .- B.,,Ab. från Trollhätte kraft- 1 verk,-,,-,,50,3000/800,-,-,-,,,,,,-,,4
5,Trollhätte kanal,"Trollhättan, Vänersborg",2,-,-,-,,25,10000/380,-,.,,,,,,,,,5
6 7,A .- B. Stridsberg & Björck Trollhätte kraftverk,Trollhättan,Fördelningscentralen i Stallbacka,,,,,25 25,10000/380 10000,.,,I,,,,.,.,-,,6 7
8,Diverse industrier å Stall- backa,,Ab. från Trollhätte kraft- verk,-,-,-,,25,10000/div. lågsp.,-,,,,,,,,-,,8
9 10,Vargöns A .- B. Ortsdistributionen vid Varg- ön m. fl.,V. Tunhem 2,Vargöns A .- B.,,,,»,25 25,10000 760/·,,.,,. .,,,,,,,9 10
11,Vänersborgs el .- verk,Vänersborg,Trollhätte kraft- verk,-,-,-,,25,10000/220 och 65,,-,,.,,,,,,,11
12,Nygårds egendom,V. Tunhem,,-,-,,,25,10000/190,25,-,,30,5,-,35,3 800,220,,12
13,V. Tunhems el. distr .- fören.,,2,,,,,25,10000/3000/380,,5,94,90,34,3,127,39 000,788,,13
14,Montén i Lunden,,2,,,,,25,10000/190,9,,,6,1,-,7,2 500,55,,14
15,Karlsson i Galltorp,,,,,,,25,10000/190,8,,,6,3,,9,3 400,104,,15
16,Väne-Åsaka el. distr .- fören.,Väne-Asaka,,-,,-,,25,10000/3000/380,.,6,110,120,32,20,172,53 600,907,,16
17,N. Björke el. distr .- fören.,N. Björke,,,-,,,25,10000/3000/380,.,3,55,113,25,5,143,28 000,436,,17
18,E. Andersson och G. Johans- son,,Björbofors,,,,.,,lågsp.,-,-,-,,,.,.,,.,,18
19,Torsereds el. distr .- fören.,Vassända- Naglum,Ab. från Trollhätte kraft- verk,-,-,-,3-fas,25,10000/1500/380,.,7,85,43,20,-,63,30 800,408,,19
20,Vassända-Naglums el. distr .- fören.,Vassända- Naglum,2,-,-,-,,25,10000/3000/380,.,9,126,50,65,2,117,61 500,685,,20
21,"Almås och Frigårds egen-
domar etc.",Väne-Ryr,,-,,-,,25,20000/3000/190,.,3,,36,4,-,40,14 900,152,,21
22,Kållereds Kvarn A .- B.,,Kållerö,V,.,.,.,,,-,,,,,,,,,,22
23,Gärdhems el. distr .. fören.,Gärdhem,Ab. från Trollhätte kraft- verk,-,,-,3-fas,25,10000/3000/380,.,,35,60,20,,80,161 000,594,,23
24,Velanda el. industrier,Vane-Asaka,Velanda,,,88,»,50,6000/380,-,.,.,,.,.,.,,,,24
