1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,1 6,17,18,19,2,1
25,A .- B. Sjuntorp,Fors,fAb. från Trollhätte kraft- verk Sjuntorp,,19,540,3.fas,25 50,10000/760 och 190,,.,,,.,.,.,,.,,25
26,Alfr. Larsson i Herrklättan,Åsbräcka,Ab. från Trollhätte kraft- verk,-,-,-,,25,10000/3000/380,180,3,18,45,14,,59,50 500,450,,26
27,Trollhätte kraftverk: Sekun- därstationen i Lilla Edet,Fuxerna,,-,-,-,,25,50000/10000,-,-,-,-,,-,-,-,-,,27
28,Trollhätte kraftverk,,Lilla Edet (under ut- förande),V,6,33 000,,25,6000,-,-,-,-,-,-,-,-,-,,28
29,Lilla Edets samhälle,,Ab. från Trollhätte kraft- verk,-,-,-,,25,10000/380 och 190,175,-,-,120,67,26,213,200 000,-,,99
30,Göta sulfitfabrik,,,-,-,,,25,10000/ ·,,-,-,.,,.,.,,-,,30
31,Haneströms tegelbruk,,,,,,,25,10000/ .,.,-,,,,.,,,,,
32,Södra Garns varv m. fl. små- industrier i Garn,Tunge,,:unselected:,,,,25,10000/ ·,.,,,132,5,1,138,7 400,,,
33,Lödöse varv,Sanct Peter,2,-,,-,,25,10000/-,.,,-,.,.,.,,,-,,
34,Propsexporten,,,,,,,25,10000/ .,,,-,.,.,.,.,,,,
35,Ale-Skövde el. distr .- fören.,Ale-Skövde,,-,-,,»,25,10000/3000/380,100,5,76,8,31,6,127,39 700,791,,
36,Kalltorps egendom,Rommele,,-,-,-,,25,10000/380,70,,-,,.,.,.,86 100,139,,
37,Upphärads el. distr .- fören.,Upphärad,,-,-,-,"1
2",25,10000/3000/380,60,5,63,100,-,--,100,39 500,407,,
38,Kobergs egendom,Lagmanser- ed,,-,-,,,25,10000/380,50,-,-,,.,,.,41 400,329,,
39,Trollhätte kraftverk. Sekun- därstationen i Nol,Starrkärr,,-,,--,,25,50000/10000,-,-,-,-,-,-,-,-,-,,39
40,Diverse industrier vid Nols järnvägsstation,,Ab. från Trollhätte kraft- verk,-,-,,,25,10000/ ·,,-,-,".
.",.,.,,.,-,,40
41,Nol-Rished och Moljes el. distr .- fören.,,,-,-,0000,,25,10000/3000/190,60,,30,18,22,11,51,25 000,241,,41
42,Alafors spinneri,,,-,,,,25,10000/ ·,.,,,.,,,.,.,,,42
43,H. Carlmark repslageri,,,,-,,,25,10000/.,,,,.,,,,.,,,43
44,Älvängens el. distr .- fören.,,,,,,,25,10000/1500/380,50,8,,60,70,6,136,67 400,215,,44
45,Tjurholmens egendom,,2,-,-,,,25,10000/3000/380,50,,,12,2,5,19,13 300,150,,45
46,Kilanda kvarn och el. verk,Kilanda,Kilanda kvarn,V,.,12,,50,3000/380,,.,,,,,,,.,,
47,Anders Lundkvist,Nödinge,Lindås,,.,15,,-,2 ×220,,,,,.,.,,,.,,
48,Backa säteri,Starrkärr,Ab. från Trollhätte kraft- verk,-,,-,3-fas,25,10000/190,15,,,12,17,2,31,17 700,60,,
49,A .- B. DeNoFa,Nödinge,2,-,,,,25,10000/ .,,,,,,,,,,,
50,St. Vikens egendom,,,,,0061000,,25,10000/190,28,,,24,5,18,47,51 700,50,,
51,Bohus elektriska,,,-,-,-,,25,10000/380,30,,-,15,,,33,30 400,,,
52,Diverse industrier i Bohus,,2,-,-,,,,10000/ ·,.,,,,.,,,.,,,
53 ..,Surte glasbruk (A .- B. Surte- Liljendal,,,,,00,,25,10000/.,.,,,,,.,.,.,,,
54 55,Angereds el. distr .- fören. P. O. Stockebyes kvarn och A .- B. Dorch Bäcksin & Co.,Angered,,-,-,,2,25 25,10000/3000/380 10000/·,60 .,10 -,"95
-",80,53 .,27 .,160,90 000,449 -,,54 55
56,Gunnilse el .- verk och kvarn,,Gunsered,v,.,27,,50,2000/380,,".
.",,,.,,,,,,
5,Ytterstafors El. A .- B.,St. Lundby,Ytterstafors,,,42,,,10000/380,,.,:,.,.,,,,,,
58,Diverse egendomar mellan Jonsered och Lerum,Lerum,Ab. från Trollhätte kraft- verk,-,,-,,,10000/ ·,,,,.,,,,,,,
