Före- tagets nr å kartan,Företagets namn,Kommun,Kraftstationens namn
1,2,,1
1,Hedesunda Elektr. A .- B. .....,Hedesunda,Abonnerar från Söderfors bruk
2,Hedesunda Södra Kraft- och bel .- fören. ...,,
3,"Östra Bodarnas Kraft- och bel .- fören., Kåg- bo byamän och Kågbo kvarn",,
4,Mindre distributionsföretag,",",Őlbo kraftstation
5,,,Rångsta .....
6,,,Österbyggebo »
7,,,Kågbo
8 9 10 In,Årsunda kraft- och belysningsförening Hemlingby och Järfsta kraft- o. bel .- fören. Mackmyra Bruk,Årsunda Valbo,Abonnerar från Horndals järnverk ... » alvkarleby kraftverk Hammarfallet.
,Sulfitfabrik.,,
11,Gävle-Dala Järnvägs A .- B.,,Hagaströms kraftstation
12,Åbyfors A .- B.,,Åbyfors
13,Forsbacka Järnverks A .- B.,,|Forsbacka Samarbete med Älvkarleby kraftverk
14,Östanbäcks Elektricitetsverk,,Östanbäck
15,Östanbäcks Filfabriks elektricitetsverk,,
16,Öns Kraftbolag,,Öns kraftstation
17,Sandvikens Järnverks A .- B.,Högbo,/Sandvikens kraftstation Abonnerar fr. Alvk. och Nas kraftst. Strömdalens kraftstation
18 19,Gävle stads elektricitetsverk Korsnäs Sågverks A .- B.,Gävle stad »,Understationen i Gävle Abonnerar från Alvkarleby kraftverk / Karskars kraftstation Abonnerar från Älvkarleby kraftverk
20,A .- B. Norrlands elektriska byrå,Hille,Forsby kraftstation
21 22,Berg-Åbyns kvarn- och belysnings A .- B. Bergvik och Ala Nya A .- B.,Hamrånge 2,Bergs Viforsen
23,Norrsundets Sågverk,2,Norrsundets kraftstation
2,Axmars Bruk,2,Abon. från Bergvik och Ala Nya A .- B.
25,Bosågens Kraft A .- B.,Ockelbo,Bosågens kraftstation.
26,Ockelbo Elektriska A. B.,,Strömsborg
27,Vij Bruk,»,/Vi kraftstation Abon. från Strömsborgs kraftstation
28,Jädraås järnverk,,Pallanite kraftstation
29,Mindre kraftanläggning,,Mörtebo
30,,=,
