12,13,14,15,16,17,18,19,20,21,29,23,24,1
1,10,3-f,50,3000/380,1,,9.9,10.3,-,-,14 000,,215
-,-,L,,,1,7.3,16,23:8,,-,,,216
,-,,,,7,30,5,35,,,53 500,,217
,-,,,,,-,-,-,,,,,218
4,40,,50,10000/300,2,11,14,25,,,83 000,Inneslutes i Änderåsens El.,219
-,,,50,3000/110,,,,,,-,,Bel .- A .- B.,220
-,-,L,,2 × 220,4,26,15,41,,-,-,,221a
,,,,220,-,-,,,,,,,|221b
,,»,-,,-,-,3.5,3.5,,,30 000,,222
,,,,,-,,-,-,,,,Provisorisk anläggning.,223
,,,,,,-,,-,,,,,224
39,607,3-f,50,10000/190,85,2,130,575,,,550 000,18) Härav 30 st. industrimo- torer om c:a 190 hkr.,225
42,-,,50,10000 (resp: 3000)/380,,105,185,290,-,,800 000,/10) Dessutom Dieselmotor om 250 hkr i reserv.,226
2,45,=,50,10000/220,,,15,15,,,100 000,,228
9,140,,50,10000/220,16,31,40,71,,,170 000,,229
5,50,=,50,10000/380,1,5.5,45,30.5,,11 000,380 000,,230
3,60,,-,10000/380,3,24,12.5,36.5,,-,200 000,12)Harav Vimo ångs. 1 transf.,231
-,-,L,,220,,-,,,,,,Kraftst. nedbrann 3 jan. 1919.,232
,,3-f,50,3000/220,-,20,24,44,,,,Saknas å kartan.,233
,,L,-,-,,-,-,-,,,,,234
20,192,3 -f,50,10000/220,16,130,84,214,,-,,,235
7.,205,,50,10000/220,9,39,80,119,,51 000,200 000,Utbyggd för 200 hkr.,236
10,250,,50,10000/380,4,21,60,81,,110 000,210 000,,237 a
,,,50,10000/380,,,-,-,,-,-,,237b
6,85,»,-,10000/380,,36,50,85,,,335 000,,238
,,L,,,,-,20,20,,,65 000,,239
,,3-f,50,5000/190,-,15,60,75,,-,-,,240
-,,,50,20000/5000/,,-,-,,-,-,,Kraften avsedd för distr.,241
,,L,-,,,,,,,,,,242
,,,,,-,,,,,,,,243
10,212,3-f,50,10000/220,-,-,,,,240 000,230 000,,244
12,701,,50,10000/(3000)/ 190 (o. 380),35,370,60,430,,700 000,200 000,,245
-,,-,,,,-,--,-,,-,-,f Användes för Eldforsens 1 trasliperi.,246
,,3-f,50,2000,,-,-,-,-,-,,,247
,,»,50,8000,,,-,-,,,,,248
,,,50,20000/8000,,1 250,60,1 310,,1 800 000,,10) Dessutom angturb .- gen.,249
,,,50,20000,-,-,-,,,-,,300 kVA.,250
,,,50,-,,,,,,,,,251
,,,50,20000,,,,,,,,,252
,,I,-,,,,,,,,,,253
,,,,,,,,,,,,,254
,,,,,,,,-,,,-,,255
,-,,-,,,,,-,-,,,,256
-,-,,-,,,,,-,-,,,,257
8,69,3-f,50,|10000/190,17,46,44,90,,35 500|,86 000,,258
