1,2,3,4,,6,7,8,9,10,11,12,13,14,15,1,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,1
131 132 133,GuldsmedshytteA .- B. Fabr. Engberg & Co. Saxhytte El. Ljus-,Grythyttan,Älvestorp Finnhyttan Saxhyttan,,. .,"5 10
3 040","A
3-fas",50,30000/20000 380 380,1907 . .,.. .,. . ca 200,-,1 -,,,,,,,,,,,,,,. .,. .,2 170 ..,8 072 000 . .,. . .,.. .,. .,33) År 1916,131 13 138
134,"för.
Hällefors Bruks A. B.",och,Hammarfallet,,,440,,R,5000/ .,1902,,,.,3,,,,,,,,,,,,,,,,270,1 709 000,,,98 000,33) År 1916,134
135,,"Hällefors
Hällefors",Sikfors,,5+2,296,A,,5000/ .,,,,,3,,,,,,,,,,,,,,.,,207,767 000,,,70 000,33) År 1916,·13:
136,,,Hällefors,,7.5,"1 300
1 865","1
J",,30000/20000/5000,1914,,,,,,,,,,,,,,,,,,"1
.",3 500,j 766,"v. 3 862 000
a. 834 000",1,,536 000,33) År 1916,136
137 38 139 140,,...,Silvergruvan . Orlingen . Risforsen Sävenfors,V.,"-
5.7 6 14'6",35 635 640 550,,,20000/ . 20000/5000 5000 20000/,1910 1910 1896,,,,,,,,,,,,,,,,,,. .,,277 567 462 .,1 076 000 2 206 000 2 307 000,,,80 000 161 000 119 000 .,33) År 1916 33) Ar 1916 33) År 1916,137 138 139 140
141 142 143,Guldsmedshytte A .- B Stripa Gruvebolag,Lindesbergs landskommun Lindesbergs landskommun Lindesbergs landskommun o. Ramsberg,Guldsmedshytte- fallen Stripa Flögfors,Iv. a. V,46 - 10-12,210 1 750 165 800,,R,30000/7000 }7000/ .,1906 1896,,,,,,,,,,,,,,,,,,,750,"170
450","| v. 187 000
[ å. 4 000
2 018 000",),,,33) År 1916 33) År 1916,141 142 14:
144,A .- B. Stora Masugn,Lindesbergs,Stora Hytta,,,400,,,7000/,1917,,,,7,,,,,,,,,,,,,,,,,,,,,,144
145,Dalkarlshytte A .- B.,"landskommun
Lindesbergs landskommun",Dalkarlshyttan,A,4-5,100,,,3000/380 resp.] 1 220,,,,,,,,,,,,,,,,,,,,,,450 000,,,,33) År 1916,145
146,Målro-Rya El. Distr.,Lindesbergs,,R,,,,,3000/380,,,,,9,,,,,,,,,,,,,,,,,,,,,,146
147,"För.
G. Norelius .","landskommun
Lindesbergs landskommun o. Nora lands- kommun",Öskevik,,,40,,,3000/380,,,,,8,,,,,,,ca12%,,,,,,,,,,,,,,,147
148,Vedevåg- Koppoms A .- B,Lindesbergs,Vedevåg,,3-5,56,L,-,440 och 110,,,,-,-,,,,,,,,,,,,,,,,,,,,,,148
149,Bruksig. G. Olsson,"landskommun
Lindesbergs",Kvarnberga,,,20,,-,2×220,,,ca 130,-,-,,,,,,,,,,,,,,,,,,,,,,149
150,Mindre distr .- företag,"landskommun
Lindesbergs landskommun",Östra Bohr,,,25,,-,220,,,,-,-,,,,,,,,,,,,,,,,,,,,,,150
151 152 153 154 155 15G 157,Gusselbo El. Distr. För. Aspa El. Distr. För. Lindesbergs Stads El. - verk samt abon- nenterna Björkhyt- tans El. För. m. fl. Strassa Gruv A. - B A. - B. Bergslagens Gemensamma Kraftförvaltning Transf .- stat. vid Stråssa Bruksägare Nils Ericson Rockhammars Bruks A. - B.,"Lindesbergs landskommun Lindesbergs landskommun Lindesberg, Lindesbergs landskommun, Fellingsbro, Nasby Ramsberg R",Ab. fr. Dalkarls- hytte A. - B. Ab. fr. Dalkarls- hytte A .- B. Kraftlev.fr.Ringa- b Skogsforsen Ramshyttan Gammelbo,- - - V.,- - 54 . .,- - 442 80 15,3-fas ..,50 -,3000/ . 3000/ . (20000/1500/220) 0. 20000/500/ 220 7000/. 30000/7000 3000/500/190 220,1907-1908 . 1911 .,,ca 150,,11,,,,,,,,,,,,,,,,442,721 000 55 000 .,,,,33) År 1916 ( 4) Två kraftsta- tioner finnas. -- ( 33) År 1916,151 152 153 154 155 156 157
158 159,Erik Landström A. B. Stjärnfors-,Ljusnarsberg,Nederhyttan . Lilla Kumlan,,33,85,3-fas,50,220 3000/ .,1906,,,,,,,,,,,,,,,,,,,85,. 80,420 000,,,.,33) År 1916,158 159
16,"Ställdalen
A .- B. Stjärnfors- Stilldalen",,Ställdalen,IV.,12 -,90 250,,,20000/3000,1895,,,,,,,,,,,,,,,,,,,100,.,530 000,,,,33) År 1916,160
161,A. B. Stjärnfors-,,Stjärnfors,v.,27,1 000,,,20000/ .,1906-07,,,,,,,,,,,,,,,,,,,1 000,750,4 100 000,,,,33) År 1916,161
162,Ställdalen A .- B. Bergslagens Gemensamma Kraftförvaltning Transf .- stat. i Kop-,,-,-,,-,,,30000/20000,,,,,,,,,,,,,,,,,,,,.,.,.,,,,,16
163 164,parberg A .- B. Bångbro Rör- verk A. B. Svartviks Gruvor,,Bangbro .. . Svartvik,,82 -,7501 1901 60,,,30000/380 500,1872 1913-14,,,,2,,,,,,,,,,,,,,,.,"300 .
160","v. 2 014 000
a. 876 000 810 000",,,75 000,33) År 1916 33) År 1916,163 164
