8,9,10,11,12,13,14,15,16,17,18,19,1
3-fas,50,10000/380,1,,,,,,,,,
,,2 ×220,-,,,,.,.,,,,167a
3-fas,25,20000,150,,,-,-,-,-,,,167b
,25,20000/1500/380,60,1,10,81,9,3,93,22 500,455,168
,25,20000/·,150,,,188,23,47,258,498 100,-,169
,50,10000/380,-,,,,,,.,,.,170
,50,3000/380,,,,,,,,,,
,25,20000/3000,80,,,,,,,,,171
,50,2000/380,,,,,,,,,,172
,50,10000/380,,,,,,,,,,173
,50,10000/380 och 2000/380,,,,,,,,,,174
.,- .,2×110 lågsp.,,-,-,,,,,,,175
3-fas,50,10000 och 4000/380,,,,,,,,,,(176a
,,,-,,,,,,,,,
L,-,2×220,,,,,,,,,,176b
3-fas,50,6000/190,,.,,,,,,,,177
,50,10000/380,,,,,,,,,,178
,50,5000/190,,.,,,,,,,,179
,.,lågsp.,,-,-,,,,,,,180
3-fas,50,10000/220,-,.,,,,,,,,181
L,,2×220,,,,,,,,,.,182
,-,2×220,,-,,,,,,,.,183
,,,-,,,,,,,,,184
.,,,-,-,-,,,,,,-,185
L,,,,,-,,,,,,,186
.,.,.,,,,,,,,,,18
.,,,,,,,,,,,,188
.,,,,,,,,,,,,18
13-fas,50,10000/380,,,,,,,,,-,19
,50,380,,,,,,,,,,191
