1,,,4
33,Mindre anläggning,Lövånger,Daglöstan
34,,,Onnesmark
35,2,,Hölemark
36,R,»,Mångbyn
37,,Nysätra,Brände
38,Estermarks El. Kraftfören.,,Estermark
39,Älglunds El. Kraft A .- B.,Nysätra o. Bygdeå,Långforsen
40,"Bygdsiljums El. Fören. "")",Burträsk,Bygdsiljum
41,Overklintens Bel .- Fören.,Bygdeå,Överklinten
42,Gumboda El. Kraft A .- B.,Nysätra,Gumboda
43,Granå Kraftfören.,Nysätra o. Bygdeå,Granån
44,A .- B. Robertsfors,Bygdeå,Fredriksfors
45,,,Bruksforsen
46,Mindre anläggning,,Östra Sjulsmark
47,,»,Gamla Starbäcken
48,,,Yttre Starbäcken
49,,,Västra Sjulsmark
50,,,Fällfors
51,Åkullas El. Fören ..,,Övre Åkulla.
52,Ricklea Bel .- Fören.4),2,Rickleå
53,Mindre anläggning,,Ratu
54,Gravmarks Kvarn A .- B.,Sävar,Gravmark
55,Mindre anläggning,,Bullmark
56,Bodbyns Södra Bel .- Fören.,,Bodbyn
57,Mindre anläggning,,Tväråmark
58,,,Täfteböle
59,Täfteå El. Distr .- Fören.,,Täfteå
60,Sävar Bel .- Fören.,2,Sävar
61,Umeå El .- verk 16),Umeå landsförs.,Klabböleforsen
62,Mindre anläggning,,Fällforsån
63,,,Ersmark
64,,,Innertavle
65,Norrmjöle Bel .- Fören.,,Norrmjöle
66,Holmsunds A .- B.,,Baggböle
67,Brännlands Bel .- Fören. 10).,,Ab. från Baggböle
68,Skravelsjö El. Fören.,,
69,Stöcksjö El. Distr .- Fören.,»,
70,Degernäs »,,
71,Holmsunds Sågverk,,Kraft erhålles fr. Baggböle Holmsunds ångsåg.
72,Obbola Sulfatfabrik 14),3),Kraft erhålles fr. Baggböle Obbola
73,Vännäs Kraft A .- B. 1),Vännäs,Harrselsforsen
74,Rödåortens El. Fören. 8),Vännäs o. Degerfors,Ab. fr. Vännäs Kraft A .- B.
75,Sörfors El. Distr .- Fören.,Umeå landsförs.,...
"76
77","Distribut. i Mellansvartbäck, Djäkneböle El. Fören. etc. Flurkmarks Bel .- Fören",Vännäs o. Umeå landsförs. Umeå landsförs.,2 ... Flurkmark
,,,
